name                     f_OII   ef_OII  f_Hb    ef_Hb   f_OIII  f_OIII  f_OIII  ef_OIII f_Ha    ef_Ha   f_NII   ef_NII  f_SII   ef_SII  f_SII   ef_SII
GRB980425/SN1998bw       26.07   2.607   7.55    0.755   6.09    0.609   18.27   1.827   44.94   4.494   5.03    0.503   9.19    0.919   6.84    0.684   
XRF020903                11.48   0.36    8.58    0.29    15.56   0.31    44.11   0.33    26.03   0.21    0.77    0.1     2.14    0.17    1.28    0.09    
GRB030329/SN2003dh       19.62   0.32    9.8     0.16    11.74   0.2     30.53   0.26    30.94   0.27    0.29    0.15    3.82    0.09    1.89    0.08    
GRB031203/SN2003lw       529.54  34.22   624.65  40.06   1391.93 88.99   4200.29 268.59  2517.63 188.04  130.84  9.71    86.14   5.53    68.28   4.37    
GRB/XRF060218/SN2006aj   224.25  1.01    91.43   0.65    108.4   0.48    291.23  0.66    261.51  0.54    10.73   0.32    15.4    0.36    11.56   0.41    
GRB091127/SN2009nz       13.2    1.7     2.0     0.3     2.8     0.3     7.9     0.3     5.5     0.3     1.0     0.0     1.5     0.5     ...     ...     
GRB100316D/SN2010bh      ...     ...     6.542   0.142   6.688   0.148   19.268  0.203   22.785  0.208   2.15    0.108   3.097   0.115   2.42    0.109   
GRB120422A/SN2012bz      58.0    6.7     12.8    0.4     8.3     0.3     25.1    0.5     53.6    0.5     8.1     0.4     9.1     0.2     6.7     0.3     
GRB130427A/SN2013cq      18.55   1.33    5.401   0.384   4.21    0.448   9.766   0.756   18.76   0.705   3.189   0.583   3.477   1.403   7.689   2.078   
GRB130702A/SN2013dx      ...     ...     43.0    5.2     ...     ...     ...     ...     111.0   0.5     5.4     0.0     ...     ...     ...     ...     
GRB161219B/SN2016jca     8.31    0.38    2.58    0.29    1.6     0.28    3.99    0.47    5.59    0.18    0.41    0.12    ...     ...     ...     ...     
