  PTF   objid                specobjid            
 10xem  1237653651846332519  483147155133982720   
 10wal  1237678880497401890  0                    
 09iqd  1                    0                    
 10xik  2                    0                    
 10ood  1237661122387838323  0                    
 10svt  3                    0                    
 12ktu  4                    0                    
 12jxd  1237667253462827120  0                    
  12as  1237654670809497758  301912176489162752   
10aavz  1237655123929202915  0                    
 10bzf  1237658803109495136  0                    
 10gvb  1237664668982116765  0                    
   09q  1237661972796670205  1830828480619636736  
 10hfe  1237651271364182239  556219325120276480   
 10ciw  1237664289929887969  0                    
 10bip  1237661972797718613  0                    
 11rka  1237661817632981819  0                    
 10bhu  1237658800429662347  1169887564195194880  
 11bov  1237667782838452274  2982662580641753088  
 10lbo  1237655463770784033  0                    
 11cmh  1237664674327232757  0                    
 11qcj  1237661362370510967  1642855417023326208  
 11ixk  1237665329858150462  2369055921465747456  
  09sk  1237665225701523539  2375674975005730816  
10acbu  1237655463774191765  886098383893194752   
 12cjy  1237661416603713629  1494121174962038784  
 10fmx  1237661387606589574  1494203913212028928  
 12fgw  1237661464913772832  1579653016603092992  
 09dzt  1237665128029159739  0                    
 12dcp  1237662504295530810  1597680882737506304  
  09ps  1237665570901000613  0                    
 11jgj  1237671767466639531  0                    
 10qts  1237662302449566721  0                    
 10hie  1237666228028375282  0                    
 12dtf  1237668728235557168  0                    
 11img  1237655746704245441  0                    
 12hvv  1237663543144415680  1114661839850989568  
 12elh  1237680090571473400  0                    
 10yow  1237680093256351872  0                    
 11klg  1237669762795372813  0                    
 10vgv  1237672764431927071  0                    
 10qqd  1237652942091059457  829856168431085568   
 12hni  1237680263453868246  0                    
 10tqv  1237666183490175873  0                    
 10zcn  1237680305866277243  0                    
 10tqi  1237672765517070488  0                    
 10osn  1237679457068777501  0                    
 11hyg  1237679034014367754  0                    
 10ysd  1237678540627378537  0                    
 11lbm  1237680305869160621  0                    
 11gcj  1237655501884359334  0                    
 12gzk  1237663479795613843  1163225900049786880  
