name D13_N2S2_O3S2 ne_D13_N2S2_O3S2 pe_D13_N2S2_O3S2 KD02comb ne_KD02comb pe_KD02comb PP04_O3N2 ne_PP04_O3N2 pe_PP04_O3N2 M08_N2Ha ne_M08_N2Ha pe_M08_N2Ha E(B-V) ne_E(B-V) pe_E(B-V) M13_O3N2 ne_M13_O3N2 pe_M13_O3N2
10aavz 8.516 0.193 0.151 8.631 0.133 0.078 8.481 0.051 0.044 8.728 0.127 0.095 0.0 0.0 0.0 8.366 0.034 0.029
10bzf 8.152 0.27 0.188 8.625 0.218 0.146 8.333 0.064 0.052 8.451 0.161 0.117 0.0 0.0 0.0 8.269 0.039 0.033
10ciw 8.545 0.07 0.073 8.572 0.084 0.074 8.4 0.06 0.096 8.708 0.041 0.037 0.282 0.083 0.092 8.312 0.04 0.063
10qts 8.108 0.354 0.294 8.033 0.041 0.046 8.081 0.143 0.081 8.089 0.411 0.601 0.0 0.0 0.0 8.183 0.013 0.018
10tqv 8.118 0.294 0.226 8.168 0.09 0.245 8.268 0.089 0.056 8.312 0.244 0.138 0.007 0.007 0.093 8.235 0.038 0.031
10vgv 8.852 0.107 0.104 8.811 0.055 0.051 8.399 0.024 0.021 8.677 0.058 0.048 0.07 0.064 0.067 8.311 0.016 0.014
10xem ... ... ... 8.075 0.007 0.007 8.082 0.001 0.001 8.118 0.002 0.002 0.471 0.006 0.006 ... ... ...
11cmh 8.654 0.278 0.178 8.524 0.107 0.118 8.55 0.103 0.084 8.737 0.206 0.139 0.0 0.0 0.298 8.413 0.066 0.056
11gcj 8.257 0.077 0.072 8.229 0.041 0.179 8.273 0.017 0.016 8.444 0.039 0.034 0.0 0.0 0.0 8.228 0.013 0.011
11img 8.363 0.226 0.176 8.475 0.069 0.073 8.265 0.066 0.051 8.455 0.143 0.102 0.657 0.232 0.267 8.228 0.034 0.032
11lbm 8.035 0.05 0.049 8.28 0.02 0.019 8.26 0.011 0.01 8.323 0.028 0.026 0.333 0.014 0.015 8.219 0.01 0.008
11qcj 8.327 0.014 0.014 8.425 0.074 0.043 8.284 0.004 0.003 8.518 0.008 0.008 0.0 0.0 0.0 8.235 0.005 0.005
12as 8.552 0.02 0.018 8.562 0.013 0.014 8.438 0.005 0.005 8.645 0.012 0.012 0.462 0.017 0.017 8.338 0.004 0.004
