name      f_OII   ef_OII  f_Hb    ef_Hb   f_OIII  f_OIII  f_OIII  ef_OIII f_Ha    ef_Ha   f_NII   ef_NII  f_SII   ef_SII  f_SII   ef_SII
PTF09ps   0.757   0.047   0.244   0.019   0.162   0.023   0.329   0.034   0.93    0.016   0.083   0.011   0.169   0.01    0.12    0.009   
PTF10bip  ...     ...     0.135   0.008   0.171   0.009   0.409   0.01    0.636   0.008   0.078   0.006   0.115   0.005   0.1     0.005   
PTF10gvb  0.205   0.083   0.074   0.004   0.082   0.005   0.274   0.007   0.293   0.006   0.011   0.004   0.039   0.006   0.022   0.005   
PTF10svt  1.188   0.037   0.546   0.009   0.459   0.009   1.303   0.015   1.613   0.019   0.096   0.011   0.172   0.015   0.116   0.013   
PTF12gzk  ...     ...     0.75    0.016   0.645   0.015   1.928   0.022   2.322   0.02    0.051   0.006   0.125   0.007   0.091   0.007   
PTF12hni  ...     ...     1.012   0.023   1.246   0.018   3.639   0.031   3.17    0.029   0.266   0.01    0.37    0.011   0.312   0.011   
PTF09sk   16.996  0.187   5.0     0.033   3.762   0.031   9.106   0.057   15.954  0.046   1.65    0.018   2.903   0.021   1.99    0.02    
PTF10aavz 0.09    0.004   0.028   0.003   0.002   0.003   0.031   0.003   0.054   0.004   0.01    0.003   0.014   0.003   0.01    0.003   
PTF10bzf  0.116   0.036   0.06    0.005   0.027   0.005   0.087   0.006   0.153   0.007   0.013   0.005   0.036   0.005   0.025   0.005   
PTF10ciw  4.11    0.284   1.046   0.087   0.546   0.077   2.077   1.102   3.96    0.093   0.703   0.076   0.908   0.054   0.617   0.047   
PTF10qts  19.599  1.018   8.673   0.456   7.891   0.463   22.479  0.588   22.354  0.702   0.425   0.504   1.552   0.725   1.341   0.986   
PTF10tqv  0.089   0.006   0.026   0.002   0.013   0.002   0.04    0.002   0.075   0.003   0.004   0.002   0.011   0.003   0.009   0.002   
PTF10vgv  24.929  2.019   12.483  0.705   7.18    0.673   22.342  0.749   38.253  1.306   6.204   0.922   3.626   0.9     2.414   1.159   
PTF10xem  12.023  0.093   10.542  0.062   18.984  0.111   42.328  0.252   48.036  0.062   1.618   0.008   1.517   0.008   1.263   0.008   
PTF11cmh  0.164   0.029   0.024   0.006   0.005   0.006   0.017   0.006   0.068   0.004   0.013   0.006   0.016   0.002   0.012   0.003   
PTF11gcj  0.479   0.011   0.13    0.006   0.098   0.005   0.286   0.006   0.34    0.004   0.028   0.003   0.054   0.006   0.041   0.004   
PTF11img  0.135   0.008   0.026   0.006   0.028   0.004   0.071   0.005   0.141   0.009   0.012   0.004   0.018   0.004   0.015   0.005   
PTF11lbm  0.525   0.01    0.169   0.002   0.08    0.002   0.314   0.003   0.672   0.006   0.039   0.003   0.122   0.004   0.077   0.003   
PTF11qcj  5.3     0.447   1.303   0.01    1.12    0.01    3.29    0.018   3.472   0.021   0.355   0.008   0.617   0.01    0.448   0.009   
PTF12as   0.622   0.029   0.133   0.002   0.055   0.001   0.18    0.002   0.601   0.005   0.089   0.003   0.12    0.004   0.076   0.003   
PTF09iqd  0.341   0.062   0.13    0.005   0.047   0.005   0.125   0.006   0.59    0.018   0.189   0.014   0.095   0.014   0.067   0.013   
PTF10bhu  0.937   0.129   0.284   0.023   0.088   0.024   0.208   0.024   0.965   0.02    0.228   0.014   0.304   0.017   0.19    0.016   
PTF10fmx  0.249   0.041   0.071   0.013   0.026   0.013   0.037   0.014   0.223   0.013   0.068   0.012   0.049   0.012   0.031   0.011   
PTF10hfe  3.633   0.27    0.991   0.018   0.282   0.014   0.716   0.018   2.419   0.024   0.697   0.013   0.627   0.013   0.463   0.012   
