name flag f_OII ef_OII f_Hb ef_Hb f_OIII_4959 ef_OIII_4959 l_OIII_5007 f_OIII_5007 ef_OIII_5007 l_Ha f_Ha ef_Ha l_NII_6584 f_NII_6584 ef_NII_6584 f_NII_6548 ef_NII_6548 f_SII_6717 ef_SII_6717 f_SII_6731 ef_SII_6731
09as 0 27.7 0.8 18.6 0.7 32.4 0.8 0 101.8 1.0 0 62.9 0.6 0 2.0 0.4 0.7 0.4 4.3 0.4 2.8 0.4
09atu 0 3.0 0.0 1.9 0.0 1.1 0.0 < 1.4 0.0 < 1.7 0.0 < 2.1 0.0 1.7 0.0 5.6 0.0 4.1 0.0
09cnd 0 10.0 0.6 4.7 0.4 4.2 0.5 0 12.4 1.3 0 11.7 0.3 < 1.9 0.0 0.7 0.0 1.8 0.5 1.4 0.4
09cwl 0 1.2 0.0 1.4 0.0 1.3 0.0 < 1.2 0.0 < 1.5 0.0 < 3.8 0.0 2.1 0.0 1.0 0.0 0.9 0.0
10bfz 0 39.7 1.3 26.0 1.5 34.9 1.3 0 108.7 1.6 0 80.0 0.8 0 2.1 0.5 2.2 0.0 7.1 1.3 4.2 1.0
10bjp 0 24.1 0.9 10.6 0.8 13.3 0.8 0 40.8 1.0 0 33.2 0.7 < 2.9 0.0 1.2 0.0 4.0 0.4 2.4 0.4
10cwr 0 12.2 1.0 13.1 1.2 22.8 1.1 0 64.0 1.4 0 33.9 0.7 < 1.6 0.0 2.0 0.0 1.7 0.5 3.0 0.8
10hgi 0 0.0 0.0 1.4 0.2 0.7 0.2 0 2.1 0.2 0 5.1 0.3 0 0.5 0.2 0.5 0.0 0.7 0.2 0.5 0.2
10nmn 0 45.9 1.9 27.6 1.4 47.4 4.2 0 144.9 1.9 0 110.1 1.3 0 5.6 1.2 3.8 0.0 7.7 0.8 5.1 0.8
10uhf* c 126.0 5.4 87.5 7.8 28.5 6.5 0 42.7 6.4 0 408.6 12.8 0 142.1 8.2 66.1 11.5 48.0 9.0 35.4 8.5
10uhf# s 7.1 0.4 2.7 0.3 1.2 0.3 0 2.5 0.3 0 14.2 0.3 0 5.3 0.2 2.0 0.2 2.9 0.4 2.0 0.3
10vqv 0 12.8 1.0 9.7 0.7 15.6 0.7 0 51.1 1.0 0 29.7 0.8 0 3.0 0.7 2.7 0.0 1.5 0.5 0.9 0.4
10vwg 0 7.2 0.0 23.2 0.0 23.5 0.0 < 22.3 0.0 < 11.1 0.0 < 8.2 0.0 14.2 0.0 18.1 0.0 8.2 0.0
10aagc 0 49.1 2.9 17.7 2.0 16.5 2.0 0 50.6 2.1 0 56.7 1.9 0 3.3 1.0 2.3 1.0 12.0 1.1 7.3 1.0
11dij 0 40.1 1.5 41.9 1.2 76.5 1.9 0 209.2 3.4 0 141.2 1.6 < 4.5 0.0 2.9 0.0 3.8 0.4 3.2 0.4
11hrq 0 342.1 4.8 137.9 3.1 162.2 3.9 0 462.3 11.6 0 420.0 4.4 0 21.9 2.4 8.2 2.9 47.3 1.6 31.7 1.5
11rks+ d 52.0 4.9 16.8 4.0 17.3 0.0 0 42.7 4.4 0 53.9 3.9 < 25.4 0.0 15.6 0.0 6.7 0.0 18.8 0.0
11rks# s 4.5 0.6 2.9 0.8 2.5 0.9 0 8.2 0.9 0 8.7 0.7 < 2.5 0.0 2.4 0.0 1.7 0.0 2.4 0.0
12dam 0 1748.0 23.0 929.6 40.0 1823.0 55.0 0 5569.0 97.0 0 2797.0 16.0 0 84.7 5.9 31.9 6.7 177.3 4.2 129.1 2.9
12mxx 0 4.5 1.1 3.0 1.0 2.8 0.0 0 2.7 0.9 0 6.4 0.6 < 1.9 0.0 2.6 0.0 6.2 0.0 2.0 0.7
